DEBUG 2024-12-02 14:33:39,419 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\apps\__init__.py first seen with mtime 1724695075.755005
DEBUG 2024-12-02 14:33:39,420 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1724695078.591667
DEBUG 2024-12-02 14:33:39,421 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\html\parser.py first seen with mtime 1711640148.0090272
DEBUG 2024-12-02 14:33:39,422 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\requests\cookies.py first seen with mtime 1726050765.2219663
DEBUG 2024-12-02 14:33:39,423 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\concurrent\futures\thread.py first seen with mtime 1711640133.7585783
DEBUG 2024-12-02 14:33:39,423 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1724695076.0530553
DEBUG 2024-12-02 14:33:39,424 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\operator.py first seen with mtime 1711640174.8778758
DEBUG 2024-12-02 14:33:39,424 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\certifi\core.py first seen with mtime 1726050765.1581473
DEBUG 2024-12-02 14:33:39,425 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\template\utils.py first seen with mtime 1724695078.8094623
DEBUG 2024-12-02 14:33:39,425 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1724695078.5941598
DEBUG 2024-12-02 14:33:39,427 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\inspect.py first seen with mtime 1723034686.3865635
DEBUG 2024-12-02 14:33:39,428 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\requests\models.py first seen with mtime 1726050765.2229657
DEBUG 2024-12-02 14:33:39,429 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\ast.py first seen with mtime 1712849613.160179
DEBUG 2024-12-02 14:33:39,429 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1724695078.6897244
DEBUG 2024-12-02 14:33:39,430 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\urllib\__init__.py first seen with mtime 1727870695.9649975
